time       epoch       loss   val_loss
22:57:25       1   0.556602   0.434837 *
22:58:10       2   0.436777   0.407723 *
22:58:55       3   0.399123   0.383018 *
22:59:40       4   0.378696   0.372303 *
23:00:26       5   0.362704   0.362637 *
23:01:13       6   0.348328   0.335427 *
23:01:58       7   0.336373   0.323263 *
23:02:44       8   0.326779   0.329258
23:03:29       9   0.324926   0.318410 *
23:04:15      10   0.318312   0.317127 *
23:05:00      11   0.313397   0.331441
23:05:46      12   0.310122   0.308907 *
23:06:31      13   0.310864   0.312313
23:07:16      14   0.305071   0.316165
23:08:02      15   0.303434   0.315639
23:08:47      16   0.301488   0.306336 *
23:09:33      17   0.298111   0.311084
23:10:18      18   0.298640   0.307997
23:11:04      19   0.297631   0.310886
23:11:50      20   0.296095   0.298617 *
23:12:35      21   0.295304   0.314161
23:13:21      22   0.292800   0.320650
23:14:06      23   0.290859   0.293441 *
23:14:51      24   0.290826   0.298918
23:15:37      25   0.285734   0.296809
23:16:23      26   0.288646   0.309627
23:17:08      27   0.285953   0.301271
23:17:53      28   0.282757   0.303363
23:18:39      29   0.282367   0.293979
23:19:26      30   0.281645   0.290092 *
23:20:12      31   0.282644   0.293951
23:20:57      32   0.281845   0.288357 *
23:21:43      33   0.278535   0.290437
23:22:27      34   0.279413   0.306832
23:23:13      35   0.277469   0.284943 *
23:23:59      36   0.274323   0.282429 *
23:24:43      37   0.272767   0.289919
23:25:29      38   0.273487   0.287884
23:26:14      39   0.273668   0.281419 *
23:27:00      40   0.271065   0.295549
23:27:46      41   0.270025   0.286947
23:28:32      42   0.268946   0.274091 *
23:29:18      43   0.267750   0.291371
23:30:03      44   0.266079   0.285351
23:30:49      45   0.266606   0.289573
23:31:36      46   0.267867   0.279583
23:32:22      47   0.266910   0.277823
23:33:08      48   0.264800   0.272541 *
23:33:54      49   0.262484   0.286193
23:34:39      50   0.262794   0.278555
23:35:25      51   0.261005   0.275733
23:36:12      52   0.260282   0.269546 *
23:36:58      53   0.258745   0.281445
23:37:44      54   0.260868   0.267655 *
23:38:29      55   0.259387   0.284015
23:39:14      56   0.258174   0.288578
23:40:00      57   0.257424   0.281437
23:40:46      58   0.253468   0.272817
23:41:31      59   0.252250   0.282603
23:42:16      60   0.253779   0.288903
23:43:01      61   0.252782   0.275682
23:43:48      62   0.253476   0.266571 *
23:44:33      63   0.249708   0.277919
23:45:18      64   0.249512   0.280487
23:46:04      65   0.249472   0.275651
23:46:49      66   0.247629   0.266856
23:47:35      67   0.248216   0.264507 *
23:48:20      68   0.250997   0.273840
23:49:06      69   0.247813   0.270090
23:49:50      70   0.245978   0.268628
23:50:36      71   0.244128   0.277029
23:51:22      72   0.244727   0.262817 *
23:52:06      73   0.245998   0.268960
23:52:52      74   0.242405   0.271558
23:53:38      75   0.241492   0.263685
23:54:23      76   0.244131   0.266763
23:55:09      77   0.243392   0.264322
23:55:54      78   0.243509   0.263216
23:56:41      79   0.241300   0.273809
23:57:26      80   0.240056   0.265698
23:58:12      81   0.238730   0.273434
23:58:57      82   0.241029   0.256577 *
23:59:43      83   0.239264   0.255830 *
00:00:29      84   0.238005   0.262638
00:01:15      85   0.235951   0.265348
00:02:00      86   0.239474   0.264812
00:02:45      87   0.234883   0.272338
00:03:30      88   0.236490   0.264140
00:04:16      89   0.235062   0.266317
00:05:01      90   0.234294   0.258062
00:05:46      91   0.234163   0.265499
00:06:32      92   0.237241   0.270508
00:07:17      93   0.235028   0.257696
00:08:02      94   0.233042   0.265892
00:08:47      95   0.231964   0.269670
00:09:32      96   0.232192   0.260125
00:10:17      97   0.230067   0.252405 *
00:11:02      98   0.231086   0.261934
00:11:48      99   0.228728   0.265116
00:12:34     100   0.230965   0.265107
00:13:20     101   0.228928   0.259322
00:14:06     102   0.225615   0.269099
00:14:50     103   0.227545   0.257110
00:15:35     104   0.227526   0.258678
00:16:20     105   0.228762   0.256005
00:17:06     106   0.226643   0.259395
00:17:52     107   0.224921   0.255940
00:18:37     108   0.227059   0.254883
00:19:22     109   0.225977   0.253388
00:20:08     110   0.224005   0.258230
00:20:53     111   0.224717   0.256364
00:21:39     112   0.223395   0.257746
00:22:24     113   0.224572   0.250373 *
00:23:09     114   0.223891   0.252852
00:23:54     115   0.222204   0.261399
00:24:39     116   0.223492   0.246777 *
00:25:25     117   0.223331   0.252652
00:26:11     118   0.220788   0.253153
00:26:56     119   0.221358   0.252728
00:27:41     120   0.219407   0.256274
00:28:27     121   0.220647   0.243184 *
00:29:12     122   0.219438   0.240570 *
00:29:58     123   0.217008   0.254554
00:30:44     124   0.218349   0.252923
00:31:29     125   0.216981   0.242836
00:32:15     126   0.218162   0.251986
00:33:00     127   0.216135   0.250906
00:33:45     128   0.216281   0.256285
00:34:30     129   0.215106   0.251413
00:35:16     130   0.215452   0.250512
00:36:02     131   0.218544   0.250732
00:36:47     132   0.212332   0.252655
00:37:33     133   0.215343   0.249120
00:38:18     134   0.213363   0.244003
00:39:03     135   0.212109   0.252963
00:39:49     136   0.214734   0.248348
00:40:35     137   0.213635   0.252469
00:41:20     138   0.211139   0.242521
00:42:06     139   0.212589   0.252489
00:42:51     140   0.211354   0.240381 *
00:43:37     141   0.210603   0.242689
00:44:23     142   0.212012   0.241625
00:45:10     143   0.210516   0.251403
00:45:55     144   0.208806   0.246987
00:46:40     145   0.211168   0.250216
00:47:26     146   0.208329   0.234546 *
00:48:12     147   0.207630   0.243298
00:48:59     148   0.208371   0.232586 *
00:49:44     149   0.206503   0.249142
00:50:29     150   0.207649   0.248009
00:51:14     151   0.206363   0.250990
00:51:59     152   0.206443   0.242190
00:52:44     153   0.205193   0.242981
00:53:30     154   0.205492   0.247543
00:54:15     155   0.203985   0.249539
00:55:00     156   0.206567   0.247893
